tripID,CLS_ID,nbAnglers,return_date_ymd,state,RED SNAPPER_kept,RED SNAPPER_released,VERMILION SNAPPER_kept,VERMILION SNAPPER_released,KING MACKEREL_kept,KING MACKEREL_released,SPANISH MACKEREL_kept,SPANISH MACKEREL_released,RED GROUPER_kept,RED GROUPER_released,WHITE GRUNT_kept,WHITE GRUNT_released,RED PORGY_kept,RED PORGY_released
7428,158,5,2017-01-11,FL,NA,NA,5,2,NA,NA,NA,NA,0,36,5,17,NA,NA
7429,158,5,2017-01-12,FL,NA,NA,1,0,NA,NA,NA,NA,5,49,7,2,NA,NA
7430,159,6,2017-01-11,FL,NA,NA,NA,NA,NA,NA,NA,NA,11,25,NA,NA,NA,NA
7431,192,6,2017-01-12,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7432,156,4,2017-01-13,FL,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
7433,192,6,2017-01-13,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,25,NA,NA,NA,NA
7435,192,6,2017-01-14,FL,NA,NA,NA,NA,2,3,NA,NA,12,18,NA,NA,NA,NA
7436,159,6,2017-01-13,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,35,NA,NA,NA,NA
7437,54,6,2017-01-14,FL,1,27,52,0,NA,NA,NA,NA,NA,NA,NA,NA,26,0
7438,231,4,2017-01-14,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,80,NA,NA
7439,231,6,2017-01-14,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,NA,NA
7440,259,6,2017-01-14,FL,NA,NA,NA,NA,NA,NA,NA,NA,10,9,NA,NA,NA,NA
7444,246,2,2017-01-01,FL,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
7445,246,3,2017-01-01,FL,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA
7446,246,5,2017-01-03,FL,NA,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA
7448,199,3,2017-01-15,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,4,25,2,NA,NA
7449,158,4,2017-01-15,FL,NA,NA,1,0,NA,NA,NA,NA,3,59,11,19,NA,NA
7451,74,9,2017-01-15,AL,0,40,3,0,NA,NA,NA,NA,NA,NA,NA,NA,10,0
7453,159,6,2017-01-14,FL,NA,NA,NA,NA,NA,NA,NA,NA,14,36,NA,NA,NA,NA
7453,159,6,2017-01-14,FL,NA,NA,NA,NA,NA,NA,NA,NA,14,36,NA,NA,NA,NA
7454,159,6,2017-01-15,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,19,NA,NA,NA,NA
